date,weekday,month,year
2012-09-14,4,9,2012
2012-09-21,4,9,2012
2012-09-28,4,9,2012
2012-05-10,3,5,2012
2012-12-10,0,12,2012
2012-10-19,4,10,2012
2012-10-26,4,10,2012
2010-05-02,6,5,2010
2010-12-02,3,12,2010
2010-02-19,4,2,2010
2010-02-26,4,2,2010
2010-05-03,0,5,2010
2010-12-03,4,12,2010
2010-03-19,4,3,2010
2010-03-26,4,3,2010
2010-02-04,3,2,2010
2010-09-04,5,9,2010
2010-04-16,4,4,2010
2010-04-23,4,4,2010
2010-04-30,4,4,2010
2010-07-05,0,7,2010
2010-05-14,4,5,2010
2010-05-21,4,5,2010
2010-05-28,4,5,2010
2010-04-06,1,4,2010
2010-11-06,5,11,2010
2010-06-18,4,6,2010
2010-06-25,4,6,2010
2010-02-07,6,2,2010
2010-09-07,1,9,2010
2010-07-16,4,7,2010
2010-07-23,4,7,2010
2010-07-30,4,7,2010
2010-06-08,1,6,2010
2010-08-13,4,8,2010
2010-08-20,4,8,2010
2010-08-27,4,8,2010
2010-03-09,1,3,2010
2010-10-09,5,10,2010
2010-09-17,4,9,2010
2010-09-24,4,9,2010
2010-01-10,6,1,2010
2010-08-10,1,8,2010
2010-10-15,4,10,2010
2010-10-22,4,10,2010
2010-10-29,4,10,2010
2010-05-11,1,5,2010
2010-12-11,5,12,2010
2010-11-19,4,11,2010
2010-11-26,4,11,2010
2010-03-12,4,3,2010
2010-10-12,1,10,2010
2010-12-17,4,12,2010
2010-12-24,4,12,2010
2010-12-31,4,12,2010
2011-07-01,4,7,2011
2011-01-14,4,1,2011
2011-01-21,4,1,2011
2011-01-28,4,1,2011
2011-04-02,5,4,2011
2011-11-02,2,11,2011
2011-02-18,4,2,2011
2011-02-25,4,2,2011
2011-04-03,6,4,2011
2011-11-03,3,11,2011
2011-03-18,4,3,2011
2011-03-25,4,3,2011
2011-01-04,1,1,2011
2011-08-04,3,8,2011
2011-04-15,4,4,2011
2011-04-22,4,4,2011
2011-04-29,4,4,2011
2011-06-05,6,6,2011
2011-05-13,4,5,2011
2011-05-20,4,5,2011
2011-05-27,4,5,2011
2011-03-06,6,3,2011
2011-10-06,3,10,2011
2011-06-17,4,6,2011
2011-06-24,4,6,2011
2011-01-07,4,1,2011
2011-08-07,6,8,2011
2011-07-15,4,7,2011
2011-07-22,4,7,2011
2011-07-29,4,7,2011
2011-05-08,6,5,2011
2011-12-08,3,12,2011
2011-08-19,4,8,2011
2011-08-26,4,8,2011
2011-02-09,2,2,2011
2011-09-09,4,9,2011
2011-09-16,4,9,2011
2011-09-23,4,9,2011
2011-09-30,4,9,2011
2011-07-10,6,7,2011
2011-10-14,4,10,2011
2011-10-21,4,10,2011
2011-10-28,4,10,2011
2011-04-11,0,4,2011
2011-11-11,4,11,2011
2011-11-18,4,11,2011
2011-11-25,4,11,2011
2011-02-12,5,2,2011
2011-09-12,0,9,2011
2011-12-16,4,12,2011
2011-12-23,4,12,2011
2011-12-30,4,12,2011
2012-06-01,4,6,2012
2012-01-13,4,1,2012
2012-01-20,4,1,2012
2012-01-27,4,1,2012
2012-03-02,4,3,2012
2012-10-02,1,10,2012
2012-02-17,4,2,2012
2012-02-24,4,2,2012
2012-02-03,4,2,2012
2012-09-03,0,9,2012
2012-03-16,4,3,2012
2012-03-23,4,3,2012
2012-03-30,4,3,2012
2012-06-04,0,6,2012
2012-04-13,4,4,2012
2012-04-20,4,4,2012
2012-04-27,4,4,2012
2012-04-05,3,4,2012
2012-11-05,0,11,2012
2012-05-18,4,5,2012
2012-05-25,4,5,2012
2012-01-06,4,1,2012
2012-08-06,0,8,2012
2012-06-15,4,6,2012
2012-06-22,4,6,2012
2012-06-29,4,6,2012
2012-06-07,3,6,2012
2012-07-13,4,7,2012
2012-07-20,4,7,2012
2012-07-27,4,7,2012
2012-03-08,3,3,2012
2012-10-08,0,10,2012
2012-08-17,4,8,2012
2012-08-24,4,8,2012
2012-08-31,4,8,2012
2012-07-09,0,7,2012
2012-09-14,4,9,2012
2012-09-21,4,9,2012
2012-09-28,4,9,2012
2012-05-10,3,5,2012
2012-12-10,0,12,2012
2012-10-19,4,10,2012
2012-10-26,4,10,2012
2010-05-02,6,5,2010
2010-12-02,3,12,2010
2010-02-19,4,2,2010
2010-02-26,4,2,2010
2010-05-03,0,5,2010
2010-12-03,4,12,2010
2010-03-19,4,3,2010
2010-03-26,4,3,2010
2010-02-04,3,2,2010
2010-09-04,5,9,2010
2010-04-16,4,4,2010
2010-04-23,4,4,2010
2010-04-30,4,4,2010
2010-07-05,0,7,2010
2010-05-14,4,5,2010
2010-05-21,4,5,2010
2010-05-28,4,5,2010
2010-04-06,1,4,2010
2010-11-06,5,11,2010
2010-06-18,4,6,2010
2010-06-25,4,6,2010
2010-02-07,6,2,2010
2010-09-07,1,9,2010
2010-07-16,4,7,2010
2010-07-23,4,7,2010
2010-07-30,4,7,2010
2010-06-08,1,6,2010
2010-08-13,4,8,2010
2010-08-20,4,8,2010
2010-08-27,4,8,2010
2010-03-09,1,3,2010
2010-10-09,5,10,2010
2010-09-17,4,9,2010
2010-09-24,4,9,2010
2010-01-10,6,1,2010
2010-08-10,1,8,2010
2010-10-15,4,10,2010
2010-10-22,4,10,2010
2010-10-29,4,10,2010
2010-05-11,1,5,2010
2010-12-11,5,12,2010
2010-11-19,4,11,2010
2010-11-26,4,11,2010
2010-03-12,4,3,2010
2010-10-12,1,10,2010
2010-12-17,4,12,2010
2010-12-24,4,12,2010
2010-12-31,4,12,2010
2011-07-01,4,7,2011
2011-01-14,4,1,2011
2011-01-21,4,1,2011
2011-01-28,4,1,2011
2011-04-02,5,4,2011
2011-11-02,2,11,2011
2011-02-18,4,2,2011
2011-02-25,4,2,2011
2011-04-03,6,4,2011
2011-11-03,3,11,2011
2011-03-18,4,3,2011
2011-03-25,4,3,2011
2011-01-04,1,1,2011
2011-08-04,3,8,2011
2011-04-15,4,4,2011
2011-04-22,4,4,2011
2011-04-29,4,4,2011
2011-06-05,6,6,2011
2011-05-13,4,5,2011
2011-05-20,4,5,2011
2011-05-27,4,5,2011
2011-03-06,6,3,2011
2011-10-06,3,10,2011
2011-06-17,4,6,2011
2011-06-24,4,6,2011
2011-01-07,4,1,2011
2011-08-07,6,8,2011
2011-07-15,4,7,2011
2011-07-22,4,7,2011
2011-07-29,4,7,2011
2011-05-08,6,5,2011
2011-12-08,3,12,2011
2011-08-19,4,8,2011
2011-08-26,4,8,2011
2011-02-09,2,2,2011
2011-09-09,4,9,2011
2011-09-16,4,9,2011
2011-09-23,4,9,2011
2011-09-30,4,9,2011
2011-07-10,6,7,2011
2011-10-14,4,10,2011
2011-10-21,4,10,2011
2011-10-28,4,10,2011
2011-04-11,0,4,2011
2011-11-11,4,11,2011
2011-11-18,4,11,2011
2011-11-25,4,11,2011
2011-02-12,5,2,2011
2011-09-12,0,9,2011
2011-12-16,4,12,2011
2011-12-23,4,12,2011
2011-12-30,4,12,2011
2012-06-01,4,6,2012
2012-01-13,4,1,2012
2012-01-20,4,1,2012
2012-01-27,4,1,2012
2012-03-02,4,3,2012
2012-10-02,1,10,2012
2012-02-17,4,2,2012
2012-02-24,4,2,2012
2012-02-03,4,2,2012
2012-09-03,0,9,2012
2012-03-16,4,3,2012
2012-03-23,4,3,2012
2012-03-30,4,3,2012
2012-06-04,0,6,2012
2012-04-13,4,4,2012
2012-04-20,4,4,2012
2012-04-27,4,4,2012
2012-04-05,3,4,2012
2012-11-05,0,11,2012
2012-05-18,4,5,2012
2012-05-25,4,5,2012
2012-01-06,4,1,2012
2012-08-06,0,8,2012
2012-06-15,4,6,2012
2012-06-22,4,6,2012
2012-06-29,4,6,2012
2012-06-07,3,6,2012
2012-07-13,4,7,2012
2012-07-20,4,7,2012
2012-07-27,4,7,2012
2012-03-08,3,3,2012
2012-10-08,0,10,2012
2012-08-17,4,8,2012
2012-08-24,4,8,2012
2012-08-31,4,8,2012
2012-07-09,0,7,2012
2012-09-14,4,9,2012
2012-09-21,4,9,2012
2012-09-28,4,9,2012
2012-05-10,3,5,2012
2012-12-10,0,12,2012
2012-10-19,4,10,2012
2012-10-26,4,10,2012
2010-05-02,6,5,2010
2010-12-02,3,12,2010
2010-02-19,4,2,2010
2010-02-26,4,2,2010
2010-05-03,0,5,2010
2010-12-03,4,12,2010
2010-03-19,4,3,2010
2010-03-26,4,3,2010
2010-02-04,3,2,2010
2010-09-04,5,9,2010
2010-04-16,4,4,2010
2010-04-23,4,4,2010
2010-04-30,4,4,2010
2010-07-05,0,7,2010
2010-05-14,4,5,2010
2010-05-21,4,5,2010
2010-05-28,4,5,2010
2010-04-06,1,4,2010
2010-11-06,5,11,2010
2010-06-18,4,6,2010
2010-06-25,4,6,2010
2010-02-07,6,2,2010
2010-09-07,1,9,2010
2010-07-16,4,7,2010
2010-07-23,4,7,2010
2010-07-30,4,7,2010
2010-06-08,1,6,2010
2010-08-13,4,8,2010
2010-08-20,4,8,2010
2010-08-27,4,8,2010
2010-03-09,1,3,2010
2010-10-09,5,10,2010
2010-09-17,4,9,2010
2010-09-24,4,9,2010
2010-01-10,6,1,2010
2010-08-10,1,8,2010
2010-10-15,4,10,2010
2010-10-22,4,10,2010
2010-10-29,4,10,2010
2010-05-11,1,5,2010
2010-12-11,5,12,2010
2010-11-19,4,11,2010
2010-11-26,4,11,2010
2010-03-12,4,3,2010
2010-10-12,1,10,2010
2010-12-17,4,12,2010
2010-12-24,4,12,2010
2010-12-31,4,12,2010
2011-07-01,4,7,2011
2011-01-14,4,1,2011
2011-01-21,4,1,2011
2011-01-28,4,1,2011
2011-04-02,5,4,2011
2011-11-02,2,11,2011
2011-02-18,4,2,2011
2011-02-25,4,2,2011
2011-04-03,6,4,2011
2011-11-03,3,11,2011
2011-03-18,4,3,2011
2011-03-25,4,3,2011
2011-01-04,1,1,2011
2011-08-04,3,8,2011
2011-04-15,4,4,2011
2011-04-22,4,4,2011
2011-04-29,4,4,2011
2011-06-05,6,6,2011
2011-05-13,4,5,2011
2011-05-20,4,5,2011
2011-05-27,4,5,2011
2011-03-06,6,3,2011
2011-10-06,3,10,2011
2011-06-17,4,6,2011
2011-06-24,4,6,2011
2011-01-07,4,1,2011
2011-08-07,6,8,2011
2011-07-15,4,7,2011
2011-07-22,4,7,2011
2011-07-29,4,7,2011
2011-05-08,6,5,2011
2011-12-08,3,12,2011
2011-08-19,4,8,2011
2011-08-26,4,8,2011
2011-02-09,2,2,2011
2011-09-09,4,9,2011
2011-09-16,4,9,2011
2011-09-23,4,9,2011
2011-09-30,4,9,2011
2011-07-10,6,7,2011
2011-10-14,4,10,2011
2011-10-21,4,10,2011
2011-10-28,4,10,2011
2011-04-11,0,4,2011
2011-11-11,4,11,2011
2011-11-18,4,11,2011
2011-11-25,4,11,2011
2011-02-12,5,2,2011
2011-09-12,0,9,2011
2011-12-16,4,12,2011
2011-12-23,4,12,2011
2011-12-30,4,12,2011
2012-06-01,4,6,2012
2012-01-13,4,1,2012
2012-01-20,4,1,2012
2012-01-27,4,1,2012
2012-03-02,4,3,2012
2012-10-02,1,10,2012
2012-02-17,4,2,2012
2012-02-24,4,2,2012
2012-02-03,4,2,2012
2012-09-03,0,9,2012
2012-03-16,4,3,2012
2012-03-23,4,3,2012
2012-03-30,4,3,2012
2012-06-04,0,6,2012
2012-04-13,4,4,2012
2012-04-20,4,4,2012
2012-04-27,4,4,2012
2012-04-05,3,4,2012
2012-11-05,0,11,2012
2012-05-18,4,5,2012
2012-05-25,4,5,2012
2012-01-06,4,1,2012
2012-08-06,0,8,2012
2012-06-15,4,6,2012
2012-06-22,4,6,2012
2012-06-29,4,6,2012
2012-06-07,3,6,2012
2012-07-13,4,7,2012
2012-07-20,4,7,2012
2012-07-27,4,7,2012
2012-03-08,3,3,2012
2012-10-08,0,10,2012
2012-08-17,4,8,2012
2012-08-24,4,8,2012
2012-08-31,4,8,2012
2012-07-09,0,7,2012
2012-09-14,4,9,2012
2012-09-21,4,9,2012
2012-09-28,4,9,2012
2012-05-10,3,5,2012
2012-12-10,0,12,2012
2012-10-19,4,10,2012
2012-10-26,4,10,2012
2010-05-02,6,5,2010
2010-12-02,3,12,2010
2010-02-19,4,2,2010
2010-02-26,4,2,2010
2010-05-03,0,5,2010
2010-12-03,4,12,2010
2010-03-19,4,3,2010
2010-03-26,4,3,2010
2010-02-04,3,2,2010
2010-09-04,5,9,2010
2010-04-16,4,4,2010
2010-04-23,4,4,2010
2010-04-30,4,4,2010
2010-07-05,0,7,2010
2010-05-14,4,5,2010
2010-05-21,4,5,2010
2010-05-28,4,5,2010
2010-04-06,1,4,2010
2010-11-06,5,11,2010
2010-06-18,4,6,2010
2010-06-25,4,6,2010
2010-02-07,6,2,2010
2010-09-07,1,9,2010
2010-07-16,4,7,2010
2010-07-23,4,7,2010
2010-07-30,4,7,2010
2010-06-08,1,6,2010
2010-08-13,4,8,2010
2010-08-20,4,8,2010
2010-08-27,4,8,2010
2010-03-09,1,3,2010
2010-10-09,5,10,2010
2010-09-17,4,9,2010
2010-09-24,4,9,2010
2010-01-10,6,1,2010
2010-08-10,1,8,2010
2010-10-15,4,10,2010
2010-10-22,4,10,2010
2010-10-29,4,10,2010
2010-05-11,1,5,2010
2010-12-11,5,12,2010
2010-11-19,4,11,2010
2010-11-26,4,11,2010
2010-03-12,4,3,2010
2010-10-12,1,10,2010
2010-12-17,4,12,2010
2010-12-24,4,12,2010
2010-12-31,4,12,2010
2011-07-01,4,7,2011
2011-01-14,4,1,2011
2011-01-21,4,1,2011
2011-01-28,4,1,2011
2011-04-02,5,4,2011
2011-11-02,2,11,2011
2011-02-18,4,2,2011
2011-02-25,4,2,2011
2011-04-03,6,4,2011
2011-11-03,3,11,2011
2011-03-18,4,3,2011
2011-03-25,4,3,2011
2011-01-04,1,1,2011
2011-08-04,3,8,2011
2011-04-15,4,4,2011
2011-04-22,4,4,2011
2011-04-29,4,4,2011
2011-06-05,6,6,2011
2011-05-13,4,5,2011
2011-05-20,4,5,2011
2011-05-27,4,5,2011
2011-03-06,6,3,2011
2011-10-06,3,10,2011
2011-06-17,4,6,2011
2011-06-24,4,6,2011
2011-01-07,4,1,2011
2011-08-07,6,8,2011
2011-07-15,4,7,2011
2011-07-22,4,7,2011
2011-07-29,4,7,2011
2011-05-08,6,5,2011
2011-12-08,3,12,2011
2011-08-19,4,8,2011
2011-08-26,4,8,2011
2011-02-09,2,2,2011
2011-09-09,4,9,2011
2011-09-16,4,9,2011
2011-09-23,4,9,2011
2011-09-30,4,9,2011
2011-07-10,6,7,2011
2011-10-14,4,10,2011
2011-10-21,4,10,2011
2011-10-28,4,10,2011
2011-04-11,0,4,2011
2011-11-11,4,11,2011
2011-11-18,4,11,2011
2011-11-25,4,11,2011
2011-02-12,5,2,2011
2011-09-12,0,9,2011
2011-12-16,4,12,2011
2011-12-23,4,12,2011
2011-12-30,4,12,2011
2012-06-01,4,6,2012
2012-01-13,4,1,2012
2012-01-20,4,1,2012
2012-01-27,4,1,2012
2012-03-02,4,3,2012
2012-10-02,1,10,2012
2012-02-17,4,2,2012
2012-02-24,4,2,2012
2012-02-03,4,2,2012
2012-09-03,0,9,2012
2012-03-16,4,3,2012
2012-03-23,4,3,2012
2012-03-30,4,3,2012
2012-06-04,0,6,2012
2012-04-13,4,4,2012
2012-04-20,4,4,2012
2012-04-27,4,4,2012
2012-04-05,3,4,2012
2012-11-05,0,11,2012
2012-05-18,4,5,2012
2012-05-25,4,5,2012
2012-01-06,4,1,2012
2012-08-06,0,8,2012
2012-06-15,4,6,2012
2012-06-22,4,6,2012
2012-06-29,4,6,2012
2012-06-07,3,6,2012
2012-07-13,4,7,2012
2012-07-20,4,7,2012
2012-07-27,4,7,2012
2012-03-08,3,3,2012
2012-10-08,0,10,2012
2012-08-17,4,8,2012
2012-08-24,4,8,2012
2012-08-31,4,8,2012
2012-07-09,0,7,2012
2012-09-14,4,9,2012
2012-09-21,4,9,2012
2012-09-28,4,9,2012
2012-05-10,3,5,2012
2012-12-10,0,12,2012
2012-10-19,4,10,2012
2012-10-26,4,10,2012
2010-05-02,6,5,2010
2010-12-02,3,12,2010
2010-02-19,4,2,2010
2010-02-26,4,2,2010
2010-05-03,0,5,2010
2010-12-03,4,12,2010
2010-03-19,4,3,2010
2010-03-26,4,3,2010
2010-02-04,3,2,2010
2010-09-04,5,9,2010
2010-04-16,4,4,2010
2010-04-23,4,4,2010
2010-04-30,4,4,2010
2010-07-05,0,7,2010
2010-05-14,4,5,2010
2010-05-21,4,5,2010
2010-05-28,4,5,2010
2010-04-06,1,4,2010
2010-11-06,5,11,2010
2010-06-18,4,6,2010
2010-06-25,4,6,2010
2010-02-07,6,2,2010
2010-09-07,1,9,2010
2010-07-16,4,7,2010
2010-07-23,4,7,2010
2010-07-30,4,7,2010
2010-06-08,1,6,2010
2010-08-13,4,8,2010
2010-08-20,4,8,2010
2010-08-27,4,8,2010
2010-03-09,1,3,2010
2010-10-09,5,10,2010
2010-09-17,4,9,2010
2010-09-24,4,9,2010
2010-01-10,6,1,2010
2010-08-10,1,8,2010
2010-10-15,4,10,2010
2010-10-22,4,10,2010
2010-10-29,4,10,2010
2010-05-11,1,5,2010
2010-12-11,5,12,2010
2010-11-19,4,11,2010
2010-11-26,4,11,2010
2010-03-12,4,3,2010
2010-10-12,1,10,2010
2010-12-17,4,12,2010
2010-12-24,4,12,2010
2010-12-31,4,12,2010
2011-07-01,4,7,2011
2011-01-14,4,1,2011
2011-01-21,4,1,2011
2011-01-28,4,1,2011
2011-04-02,5,4,2011
2011-11-02,2,11,2011
2011-02-18,4,2,2011
2011-02-25,4,2,2011
2011-04-03,6,4,2011
2011-11-03,3,11,2011
2011-03-18,4,3,2011
2011-03-25,4,3,2011
2011-01-04,1,1,2011
2011-08-04,3,8,2011
2011-04-15,4,4,2011
2011-04-22,4,4,2011
2011-04-29,4,4,2011
2011-06-05,6,6,2011
2011-05-13,4,5,2011
2011-05-20,4,5,2011
2011-05-27,4,5,2011
2011-03-06,6,3,2011
2011-10-06,3,10,2011
2011-06-17,4,6,2011
2011-06-24,4,6,2011
2011-01-07,4,1,2011
2011-08-07,6,8,2011
2011-07-15,4,7,2011
2011-07-22,4,7,2011
2011-07-29,4,7,2011
2011-05-08,6,5,2011
2011-12-08,3,12,2011
2011-08-19,4,8,2011
2011-08-26,4,8,2011
2011-02-09,2,2,2011
2011-09-09,4,9,2011
2011-09-16,4,9,2011
2011-09-23,4,9,2011
2011-09-30,4,9,2011
2011-07-10,6,7,2011
2011-10-14,4,10,2011
2011-10-21,4,10,2011
2011-10-28,4,10,2011
2011-04-11,0,4,2011
2011-11-11,4,11,2011
2011-11-18,4,11,2011
2011-11-25,4,11,2011
2011-02-12,5,2,2011
2011-09-12,0,9,2011
2011-12-16,4,12,2011
2011-12-23,4,12,2011
2011-12-30,4,12,2011
2012-06-01,4,6,2012
2012-01-13,4,1,2012
2012-01-20,4,1,2012
2012-01-27,4,1,2012
2012-03-02,4,3,2012
2012-10-02,1,10,2012
2012-02-17,4,2,2012
2012-02-24,4,2,2012
2012-02-03,4,2,2012
2012-09-03,0,9,2012
2012-03-16,4,3,2012
2012-03-23,4,3,2012
2012-03-30,4,3,2012
2012-06-04,0,6,2012
2012-04-13,4,4,2012
2012-04-20,4,4,2012
2012-04-27,4,4,2012
2012-04-05,3,4,2012
2012-11-05,0,11,2012
2012-05-18,4,5,2012
2012-05-25,4,5,2012
2012-01-06,4,1,2012
2012-08-06,0,8,2012
2012-06-15,4,6,2012
2012-06-22,4,6,2012
2012-06-29,4,6,2012
2012-06-07,3,6,2012
2012-07-13,4,7,2012
2012-07-20,4,7,2012
2012-07-27,4,7,2012
2012-03-08,3,3,2012
2012-10-08,0,10,2012
2012-08-17,4,8,2012
2012-08-24,4,8,2012
2012-08-31,4,8,2012
2012-07-09,0,7,2012
2012-09-14,4,9,2012
2012-09-21,4,9,2012
2012-09-28,4,9,2012
2012-05-10,3,5,2012
2012-12-10,0,12,2012
2012-10-19,4,10,2012
2012-10-26,4,10,2012
2010-05-02,6,5,2010
2010-12-02,3,12,2010
2010-02-19,4,2,2010
2010-02-26,4,2,2010
2010-05-03,0,5,2010
2010-12-03,4,12,2010
2010-03-19,4,3,2010
2010-03-26,4,3,2010
2010-02-04,3,2,2010
2010-09-04,5,9,2010
2010-04-16,4,4,2010
2010-04-23,4,4,2010
2010-04-30,4,4,2010
2010-07-05,0,7,2010
2010-05-14,4,5,2010
2010-05-21,4,5,2010
2010-05-28,4,5,2010
2010-04-06,1,4,2010
2010-11-06,5,11,2010
2010-06-18,4,6,2010
2010-06-25,4,6,2010
2010-02-07,6,2,2010
2010-09-07,1,9,2010
2010-07-16,4,7,2010
2010-07-23,4,7,2010
2010-07-30,4,7,2010
2010-06-08,1,6,2010
2010-08-13,4,8,2010
2010-08-20,4,8,2010
2010-08-27,4,8,2010
2010-03-09,1,3,2010
2010-10-09,5,10,2010
2010-09-17,4,9,2010
2010-09-24,4,9,2010
2010-01-10,6,1,2010
2010-08-10,1,8,2010
2010-10-15,4,10,2010
2010-10-22,4,10,2010
2010-10-29,4,10,2010
2010-05-11,1,5,2010
2010-12-11,5,12,2010
2010-11-19,4,11,2010
2010-11-26,4,11,2010
2010-03-12,4,3,2010
2010-10-12,1,10,2010
2010-12-17,4,12,2010
2010-12-24,4,12,2010
2010-12-31,4,12,2010
2011-07-01,4,7,2011
2011-01-14,4,1,2011
2011-01-21,4,1,2011
2011-01-28,4,1,2011
2011-04-02,5,4,2011
2011-11-02,2,11,2011
2011-02-18,4,2,2011
2011-02-25,4,2,2011
2011-04-03,6,4,2011
2011-11-03,3,11,2011
2011-03-18,4,3,2011
2011-03-25,4,3,2011
2011-01-04,1,1,2011
2011-08-04,3,8,2011
2011-04-15,4,4,2011
2011-04-22,4,4,2011
2011-04-29,4,4,2011
2011-06-05,6,6,2011
2011-05-13,4,5,2011
2011-05-20,4,5,2011
2011-05-27,4,5,2011
2011-03-06,6,3,2011
2011-10-06,3,10,2011
2011-06-17,4,6,2011
2011-06-24,4,6,2011
2011-01-07,4,1,2011
2011-08-07,6,8,2011
2011-07-15,4,7,2011
2011-07-22,4,7,2011
2011-07-29,4,7,2011
2011-05-08,6,5,2011
2011-12-08,3,12,2011
2011-08-19,4,8,2011
2011-08-26,4,8,2011
2011-02-09,2,2,2011
2011-09-09,4,9,2011
2011-09-16,4,9,2011
2011-09-23,4,9,2011
2011-09-30,4,9,2011
2011-07-10,6,7,2011
2011-10-14,4,10,2011
2011-10-21,4,10,2011
2011-10-28,4,10,2011
2011-04-11,0,4,2011
2011-11-11,4,11,2011
2011-11-18,4,11,2011
2011-11-25,4,11,2011
2011-02-12,5,2,2011
2011-09-12,0,9,2011
2011-12-16,4,12,2011
2011-12-23,4,12,2011
2011-12-30,4,12,2011
2012-06-01,4,6,2012
2012-01-13,4,1,2012
2012-01-20,4,1,2012
2012-01-27,4,1,2012
2012-03-02,4,3,2012
2012-10-02,1,10,2012
2012-02-17,4,2,2012
2012-02-24,4,2,2012
2012-02-03,4,2,2012
2012-09-03,0,9,2012
2012-03-16,4,3,2012
2012-03-23,4,3,2012
2012-03-30,4,3,2012
2012-06-04,0,6,2012
2012-04-13,4,4,2012
2012-04-20,4,4,2012
2012-04-27,4,4,2012
2012-04-05,3,4,2012
2012-11-05,0,11,2012
2012-05-18,4,5,2012
2012-05-25,4,5,2012
2012-01-06,4,1,2012
2012-08-06,0,8,2012
2012-06-15,4,6,2012
2012-06-22,4,6,2012
2012-06-29,4,6,2012
2012-06-07,3,6,2012
2012-07-13,4,7,2012
2012-07-20,4,7,2012
2012-07-27,4,7,2012
2012-03-08,3,3,2012
2012-10-08,0,10,2012
2012-08-17,4,8,2012
2012-08-24,4,8,2012
2012-08-31,4,8,2012
2012-07-09,0,7,2012
2012-09-14,4,9,2012
2012-09-21,4,9,2012
2012-09-28,4,9,2012
2012-05-10,3,5,2012
2012-12-10,0,12,2012
2012-10-19,4,10,2012
2012-10-26,4,10,2012
2010-05-02,6,5,2010
2010-12-02,3,12,2010
2010-02-19,4,2,2010
2010-02-26,4,2,2010
2010-05-03,0,5,2010
2010-12-03,4,12,2010
2010-03-19,4,3,2010
2010-03-26,4,3,2010
2010-02-04,3,2,2010
2010-09-04,5,9,2010
2010-04-16,4,4,2010
2010-04-23,4,4,2010
2010-04-30,4,4,2010
2010-07-05,0,7,2010
2010-05-14,4,5,2010
2010-05-21,4,5,2010
2010-05-28,4,5,2010
2010-04-06,1,4,2010
2010-11-06,5,11,2010
2010-06-18,4,6,2010
2010-06-25,4,6,2010
2010-02-07,6,2,2010
2010-09-07,1,9,2010
2010-07-16,4,7,2010
2010-07-23,4,7,2010
2010-07-30,4,7,2010
2010-06-08,1,6,2010
2010-08-13,4,8,2010
2010-08-20,4,8,2010
2010-08-27,4,8,2010
2010-03-09,1,3,2010
2010-10-09,5,10,2010
2010-09-17,4,9,2010
2010-09-24,4,9,2010
2010-01-10,6,1,2010
2010-08-10,1,8,2010
2010-10-15,4,10,2010
2010-10-22,4,10,2010
2010-10-29,4,10,2010
2010-05-11,1,5,2010
2010-12-11,5,12,2010
2010-11-19,4,11,2010
2010-11-26,4,11,2010
2010-03-12,4,3,2010
2010-10-12,1,10,2010
2010-12-17,4,12,2010
2010-12-24,4,12,2010
2010-12-31,4,12,2010
2011-07-01,4,7,2011
2011-01-14,4,1,2011
2011-01-21,4,1,2011
2011-01-28,4,1,2011
2011-04-02,5,4,2011
2011-11-02,2,11,2011
2011-02-18,4,2,2011
2011-02-25,4,2,2011
2011-04-03,6,4,2011
2011-11-03,3,11,2011
2011-03-18,4,3,2011
2011-03-25,4,3,2011
2011-01-04,1,1,2011
2011-08-04,3,8,2011
2011-04-15,4,4,2011
2011-04-22,4,4,2011
2011-04-29,4,4,2011
2011-06-05,6,6,2011
2011-05-13,4,5,2011
2011-05-20,4,5,2011
2011-05-27,4,5,2011
2011-03-06,6,3,2011
2011-10-06,3,10,2011
2011-06-17,4,6,2011
2011-06-24,4,6,2011
2011-01-07,4,1,2011
2011-08-07,6,8,2011
2011-07-15,4,7,2011
2011-07-22,4,7,2011
2011-07-29,4,7,2011
2011-05-08,6,5,2011
2011-12-08,3,12,2011
2011-08-19,4,8,2011
2011-08-26,4,8,2011
2011-02-09,2,2,2011
2011-09-09,4,9,2011
2011-09-16,4,9,2011
2011-09-23,4,9,2011
2011-09-30,4,9,2011
2011-07-10,6,7,2011
2011-10-14,4,10,2011
2011-10-21,4,10,2011
2011-10-28,4,10,2011
2011-04-11,0,4,2011
2011-11-11,4,11,2011
2011-11-18,4,11,2011
2011-11-25,4,11,2011
2011-02-12,5,2,2011
2011-09-12,0,9,2011
2011-12-16,4,12,2011
2011-12-23,4,12,2011
2011-12-30,4,12,2011
2012-06-01,4,6,2012
2012-01-13,4,1,2012
2012-01-20,4,1,2012
2012-01-27,4,1,2012
2012-03-02,4,3,2012
2012-10-02,1,10,2012
2012-02-17,4,2,2012
2012-02-24,4,2,2012
2012-02-03,4,2,2012
2012-09-03,0,9,2012
2012-03-16,4,3,2012
2012-03-23,4,3,2012
2012-03-30,4,3,2012
2012-06-04,0,6,2012
2012-04-13,4,4,2012
2012-04-20,4,4,2012
2012-04-27,4,4,2012
2012-04-05,3,4,2012
2012-11-05,0,11,2012
2012-05-18,4,5,2012
2012-05-25,4,5,2012
2012-01-06,4,1,2012
2012-08-06,0,8,2012
2012-06-15,4,6,2012
2012-06-22,4,6,2012
2012-06-29,4,6,2012
2012-06-07,3,6,2012
2012-07-13,4,7,2012
2012-07-20,4,7,2012
2012-07-27,4,7,2012
2012-03-08,3,3,2012
2012-10-08,0,10,2012
2012-08-17,4,8,2012
2012-08-24,4,8,2012
